cen_tract,id,longitude,latitude,prem,t_ded,tcov,value
1003011403,421472,-87.7,30.3,1351,2,242,500
1003011403,421890,-87.7,30.3,428,1.25,250,600
1003011403,421895,-87.7,30.3,334,1.25,214.3,214.3
1003011403,422160,-87.6,30.3,830,1.25,250,250
1003011403,422477,-87.6,30.3,404,1.25,250,450
1003011403,422524,-87.7,30.3,391,1.25,250,250
1003011403,423980,-87.6,30.3,404,1.25,250,250
1003011403,424815,-87.7,30.3,3325,5,180,180
1003011403,425870,-87.7,30.3,487,1.25,117.2,117.2
1003011403,425885,-87.6,30.3,332,1.25,250,250
1003011403,425887,-87.6,30.3,402,1.25,250,250
1003011403,426004,-87.6,30.3,1879,5,250,258
1003011403,426235,-87.6,30.3,537,1.25,250,280
1003011403,428976,-87.6,30.3,974,2,250,250
1003011403,429910,-87.6,30.3,404,1.25,250,250
1003011403,430433,-87.6,30.3,404,1.25,250,250
1003011403,430728,-87.7,30.3,1180,1.25,135,135
1003011403,431233,-87.6,30.3,434,1.25,250,250
1003011403,431242,-87.6,30.3,404,1.25,250,250
1003011403,431270,-87.6,30.3,509,1.25,250,250
1003011403,431281,-87.6,30.3,444,1.25,250,500
1003011403,432234,-87.6,30.3,298,2,250,250
1003011403,432549,-87.6,30.3,369,1.25,250,500
1003011403,432553,-87.6,30.3,369,1.25,250,500
1003011403,432948,-87.7,30.3,1138,5,250,330
1003011403,491713,-87.6,30.3,303,1.25,200,200
1003011403,492927,-87.6,30.3,748,1.25,250,500
1003011403,495494,-87.6,30.3,713,1.25,250,350
1003011403,495744,-87.6,30.3,625,1.25,200,200
1003011403,496185,-87.6,30.3,504,1.25,250,444
1003011403,496383,-87.7,30.3,364,2,250,248
1003011403,496435,-87.6,30.3,215,1.25,165,165
1003011403,496470,-87.6,30.3,276,1.25,150,150
1003011403,496780,-87.6,30.3,237,1.25,250,400
1003011403,496847,-87.6,30.3,357,1.25,250,250
1003011403,497052,-87.6,30.3,226,1,70,70
1003011403,497204,-87.7,30.3,277,1.5,250,250
1003011403,497241,-87.7,30.3,487,1.25,175,175
1003011403,497390,-87.6,30.3,465,1.25,250,325
1003011403,497559,-87.6,30.3,278,1.25,175,175
1003011403,497616,-87.6,30.3,385,1.25,250,240
1003011403,497798,-87.6,30.3,380,1.25,250,350
1003011403,497862,-87.6,30.3,406,1.5,250,250
1003011403,497875,-87.6,30.3,274,1.25,154,150
1003011403,498014,-87.6,30.3,465,1.25,250,250
1003011403,498136,-87.6,30.3,624,1.25,250,500
1003011403,498212,-87.6,30.3,256,1.25,250,300
1003011403,498324,-87.6,30.3,331,1.25,200,200
1003011403,498350,-87.6,30.3,226,1.25,140,140
1003011403,498554,-87.6,30.3,643,2,65,65
1003011403,498772,-87.6,30.3,665,1.25,250,450
1003011403,498835,-87.6,30.3,601,1.25,250,450
1003011403,498925,-87.6,30.3,485,2,224,224
1003011403,499063,-87.6,30.3,465,1.25,250,250
1003011403,499343,-87.6,30.3,507,1.25,195,350
1003011403,499403,-87.6,30.3,782,1.25,250,465
1003011403,499577,-87.7,30.3,1489,1.25,250,450
1003011403,499857,-87.7,30.3,441,1.25,200,200
1003011403,500106,-87.6,30.3,329,1.25,250,275
1003011403,500250,-87.6,30.3,245,1.25,138,137.508
1003011403,500256,-87.7,30.3,362,1.25,110,175
1003011403,500381,-87.6,30.3,287,1.25,140,165
1003011403,502038,-87.7,30.3,1262,5,200,180
1003011403,502075,-87.7,30.3,328,5,250,275
1003011403,502124,-87.7,30.3,571,5,250,350
1003011403,502132,-87.7,30.3,217,5,250,250
1003011403,585792,-87.7,30.3,341,1.25,200,200
1003011403,711161,-87.7,30.3,1323,1.25,250,330.345
1003011403,711576,-87.6,30.3,500,1.25,250,250
1003011403,712155,-87.6,30.3,333,5,250,303
1003011403,715496,-87.6,30.3,934,5,150,170.968
1003011403,775020,-87.7,30.3,251,5,250,280
1003011403,775103,-87.6,30.3,367,5,250,513
1003011403,776369,-87.7,30.3,347,1.25,150,168
1003011403,866707,-87.7,30.3,1658,2,130,140
1003011403,969969,-87.7,30.3,818,1.25,250,400
1003011403,976996,-87.6,30.3,175,5,200,200
1003011403,977058,-87.7,30.3,523,1.25,250,390
1003011403,1009902,-87.6,30.3,394,1.25,250,500
1003011403,1009921,-87.6,30.3,334,3,250,280
1003011403,1009928,-87.7,30.3,1201,1.5,100,100
1003011403,1009937,-87.7,30.3,880,2,113,113
1003011403,1010010,-87.6,30.3,479,1.25,150,150
1003011403,1049305,-87.6,30.3,259,2,185,185
1003011403,1233920,-87.7,30.3,852,1.25,250,255
1003011405,56317,-87.5,30.3,256,5,250,262
1003011405,73867,-87.5,30.3,175,1,78.7,78.7
1003011405,74527,-87.5,30.3,314,1.25,250,300
1003011405,74637,-87.5,30.3,269,2,175,175
1003011405,74968,-87.5,30.3,924,5,250,700
1003011405,75621,-87.5,30.3,322,1.25,103,200
1003011405,75691,-87.5,30.3,404,1.25,250,250
1003011405,76022,-87.5,30.3,154,1,100,110
1003011405,76208,-87.5,30.3,192,1,85,85
1003011405,76256,-87.5,30.3,361,1.25,250,250
1003011405,76976,-87.5,30.3,632,2,250,470
1003011405,97353,-87.5,30.3,2717,2,200,85
1003011405,101630,-87.5,30.3,691,1.25,250,250
1003011405,111898,-87.5,30.3,665,1.25,250,200
