cen_tract,longitude,latitude,prem,building,t_ded,med_income
1003011403,-87.6,30.3,537,1,1.25,45374
1003011403,-87.6,30.3,974,2,2,45374
1003011403,-87.6,30.3,404,2,1.25,45374
1003011403,-87.6,30.3,404,2,1.25,45374
1003011403,-87.7,30.3,1180,1,1.25,45374
1003011403,-87.6,30.3,434,1,1.25,45374
1003011403,-87.6,30.3,404,1,1.25,45374
1003011403,-87.6,30.3,509,2,1.25,45374
1003011403,-87.6,30.3,444,2,1.25,45374
1003011403,-87.6,30.3,298,1,2,45374
1003011403,-87.6,30.3,369,3,1.25,45374
1003011403,-87.6,30.3,369,3,1.25,45374
1003011403,-87.7,30.3,1138,1,5,45374
1003011403,-87.6,30.3,303,1,1.25,45374
1003011403,-87.6,30.3,748,2,1.25,45374
1003011403,-87.6,30.3,713,2,1.25,45374
1003011403,-87.6,30.3,625,1,1.25,45374
1003011403,-87.6,30.3,504,3,1.25,45374
1003011403,-87.7,30.3,364,2,2,45374
1003011403,-87.6,30.3,215,1,1.25,45374
1003011403,-87.6,30.3,276,1,1.25,45374
1003011403,-87.6,30.3,237,2,1.25,45374
1003011403,-87.6,30.3,357,2,1.25,45374
1003011403,-87.6,30.3,226,1,1,45374
1003011403,-87.7,30.3,277,2,1.5,45374
1003011403,-87.7,30.3,487,3,1.25,45374
1003011403,-87.6,30.3,465,1,1.25,45374
1003011403,-87.6,30.3,278,1,1.25,45374
1003011403,-87.6,30.3,385,2,1.25,45374
1003011403,-87.6,30.3,380,2,1.25,45374
1003011403,-87.6,30.3,406,1,1.5,45374
1003011403,-87.6,30.3,274,2,1.25,45374
1003011403,-87.6,30.3,465,1,1.25,45374
1003011403,-87.6,30.3,624,2,1.25,45374
1003011403,-87.6,30.3,256,2,1.25,45374
1003011403,-87.6,30.3,331,1,1.25,45374
1003011403,-87.6,30.3,226,1,1.25,45374
1003011403,-87.6,30.3,643,1,2,45374
1003011403,-87.6,30.3,665,2,1.25,45374
1003011403,-87.6,30.3,601,2,1.25,45374
1003011403,-87.6,30.3,485,2,2,45374
1003011403,-87.6,30.3,465,1,1.25,45374
1003011403,-87.6,30.3,507,2,1.25,45374
1003011403,-87.6,30.3,782,3,1.25,45374
1003011403,-87.7,30.3,1489,1,1.25,45374
1003011403,-87.7,30.3,441,2,1.25,45374
1003011403,-87.6,30.3,329,2,1.25,45374
1003011403,-87.6,30.3,245,1,1.25,45374
1003011403,-87.7,30.3,362,1,1.25,45374
1003011403,-87.6,30.3,287,1,1.25,45374
1003011403,-87.7,30.3,1262,2,5,45374
1003011403,-87.7,30.3,328,2,5,45374
1003011403,-87.7,30.3,571,1,5,45374
1003011403,-87.7,30.3,217,2,5,45374
1003011403,-87.7,30.3,341,2,1.25,45374
1003011403,-87.7,30.3,1323,1,1.25,45374
1003011403,-87.6,30.3,500,2,1.25,45374
1003011403,-87.6,30.3,333,1,5,45374
1003011403,-87.6,30.3,934,2,5,45374
1003011403,-87.7,30.3,251,2,5,45374
1003011403,-87.6,30.3,367,2,5,45374
1003011403,-87.7,30.3,347,1,1.25,45374
1003011403,-87.7,30.3,1658,1,2,45374
1003011403,-87.7,30.3,818,2,1.25,45374
1003011403,-87.6,30.3,175,1,5,45374
1003011403,-87.7,30.3,523,1,1.25,45374
1003011403,-87.6,30.3,394,2,1.25,45374
1003011403,-87.6,30.3,334,2,3,45374
1003011403,-87.7,30.3,1201,2,1.5,45374
1003011403,-87.7,30.3,880,2,2,45374
1003011403,-87.6,30.3,479,1,1.25,45374
1003011403,-87.6,30.3,259,1,2,45374
1003011403,-87.7,30.3,852,3,1.25,45374
1003011405,-87.5,30.3,256,2,5,77452
1003011405,-87.5,30.3,175,1,1,77452
1003011405,-87.5,30.3,314,4,1.25,77452
1003011405,-87.5,30.3,269,1,2,77452
1003011405,-87.5,30.3,924,3,5,77452
1003011405,-87.5,30.3,322,1,1.25,77452
1003011405,-87.5,30.3,404,2,1.25,77452
1003011405,-87.5,30.3,154,1,1,77452
1003011405,-87.5,30.3,192,1,1,77452
1003011405,-87.5,30.3,361,1,1.25,77452
1003011405,-87.5,30.3,632,2,2,77452
1003011405,-87.5,30.3,2717,2,2,77452
1003011405,-87.5,30.3,691,3,1.25,77452
1003011405,-87.5,30.3,665,2,1.25,77452
1003011405,-87.5,30.3,433,2,3,77452
1003011405,-87.5,30.3,599,4,5,77452
1003011405,-87.5,30.3,612,3,1.25,77452
1003011405,-87.5,30.3,418,2,1.25,77452
1003011405,-87.5,30.3,325,3,5,77452
1003011405,-87.5,30.3,550,2,1.25,77452
1003011405,-87.5,30.3,742,1,2,77452
1003011405,-87.5,30.3,758,2,5,77452
1003011405,-87.5,30.3,543,2,1.25,77452
1003011405,-87.5,30.3,1033,2,1.25,77452
1003011405,-87.5,30.3,498,3,1.25,77452
1003011405,-87.5,30.3,354,2,1.25,77452
1003011405,-87.5,30.3,458,3,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,497,2,1.25,77452
1003011405,-87.5,30.3,2253,1,2,77452
1003011405,-87.5,30.3,497,2,1.25,77452
1003011405,-87.5,30.3,497,2,1.25,77452
1003011405,-87.5,30.3,497,2,1.25,77452
1003011405,-87.5,30.3,346,2,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,379,3,1.25,77452
1003011405,-87.5,30.3,379,1,1.25,77452
1003011405,-87.5,30.3,643,3,1.25,77452
1003011405,-87.5,30.3,404,2,1.25,77452
1003011405,-87.5,30.3,379,1,1.25,77452
1003011405,-87.5,30.3,449,2,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,379,1,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,379,1,1.25,77452
1003011405,-87.5,30.3,421,3,1.25,77452
1003011405,-87.5,30.3,379,2,1.25,77452
1003011405,-87.5,30.3,196,1,1.25,77452
1003011405,-87.5,30.3,626,3,1.25,77452
1003011405,-87.5,30.3,347,1,1.25,77452
1003011405,-87.5,30.3,404,2,1.25,77452
1003011405,-87.5,30.3,421,2,1.25,77452
1003011405,-87.5,30.3,336,2,1.25,77452
1003011405,-87.5,30.3,404,1,1.25,77452
